airline,source_city,departure_time,stops,arrival_time,destination_city,class,duration,days_left,price
1,1,1,0,2,0,1,35.58,10,13233
1,1,1,0,2,0,1,35.58,13,13233
1,1,1,0,2,0,1,35.58,14,14073
1,1,1,0,2,0,1,35.58,16,8081
1,1,1,0,2,0,1,35.58,17,5981
1,1,1,0,2,0,1,35.58,21,5403
1,1,1,0,2,0,1,35.58,28,5981
1,1,1,0,2,0,1,35.58,35,5403
1,1,1,0,2,0,1,35.58,42,5403
5,0,4,0,5,5,1,35.5,1,20293
1,1,4,1,2,5,1,35.5,9,11871
1,1,4,0,2,5,1,35.5,42,5320
1,0,1,0,2,4,1,35.42,3,14243
1,0,1,0,2,3,1,35.42,3,13332
1,0,1,0,2,3,1,35.42,3,19223
1,0,1,0,2,3,1,35.42,4,13752
1,0,1,0,2,3,1,35.42,6,13332
1,0,1,0,2,3,1,35.42,7,13332
1,0,1,0,2,3,1,35.42,9,14330
1,0,1,0,2,3,1,35.42,10,13332
1,0,1,0,2,3,1,35.42,10,15758
1,0,1,1,2,3,1,35.42,14,13017
1,0,1,1,2,3,1,35.42,15,13017
1,0,1,0,2,3,1,35.42,16,10510
1,0,1,0,2,3,1,35.42,17,10090
1,0,1,0,2,3,1,35.42,20,10090
1,0,1,0,2,3,1,35.42,21,10090
1,0,1,0,2,3,1,35.42,23,10363
1,0,1,0,2,3,1,35.42,24,10090
1,0,1,0,2,3,1,35.42,24,11350
1,0,1,0,2,3,1,35.42,27,10090
1,0,1,0,2,3,1,35.42,28,10090
1,0,1,0,2,3,1,35.42,28,10363
1,0,1,0,2,3,1,35.42,29,10090
1,0,1,0,2,3,1,35.42,30,10363
1,0,1,0,2,3,1,35.42,31,10090
1,0,1,0,2,3,1,35.42,31,10363
1,0,1,0,2,3,1,35.42,34,10090
1,0,1,0,2,3,1,35.42,35,10090
1,0,1,0,2,3,1,35.42,35,10363
1,0,1,0,2,3,1,35.42,36,10090
1,0,1,0,2,3,1,35.42,37,10090
1,0,1,0,2,3,1,35.42,38,10090
1,0,1,0,2,3,1,35.42,38,10363
1,0,1,0,2,3,1,35.42,42,10090
1,0,1,0,2,3,1,35.42,44,10090
1,0,1,0,2,3,1,35.42,45,10090
1,0,1,0,2,3,1,35.42,48,10090
1,0,1,0,2,3,1,35.42,49,10090
1,4,4,1,5,5,1,35.42,3,15719
1,3,4,1,5,5,1,35.42,3,13173
1,1,1,1,2,4,1,35.42,3,19998
1,1,1,1,2,4,1,35.42,8,15609
1,1,1,1,2,3,1,35.42,15,12304
1,1,4,0,5,5,1,35.33,46,5778
1,1,4,0,5,5,1,35.33,48,5558
5,1,1,1,2,0,1,35.33,17,14822
5,1,1,1,2,0,1,35.33,20,14087
5,5,1,0,2,0,1,35.25,2,21540
5,5,1,1,2,0,1,35.25,3,16210
1,1,1,0,2,5,1,35.25,10,17447
1,1,1,0,2,5,1,35.25,13,13866
1,1,1,0,2,5,1,35.25,15,13926
1,1,1,0,2,5,1,35.25,16,12778
1,1,1,0,2,5,1,35.25,17,8862
1,1,1,0,2,5,1,35.25,19,7642
1,1,1,0,2,5,1,35.25,38,7642
1,1,1,0,2,5,1,35.25,38,8062
5,5,4,1,5,1,1,35.17,1,19235
5,4,4,0,5,2,1,35.17,1,19201
5,4,4,0,5,2,1,35.17,2,17996
1,4,0,1,3,0,1,35.17,3,15690
5,1,4,0,5,3,1,35.17,22,6015
5,1,4,1,5,3,1,35.17,25,6015
5,1,4,1,5,3,1,35.17,26,6015
5,1,4,1,5,3,1,35.17,29,6015
5,1,4,1,5,3,1,35.17,36,6015
5,0,4,0,2,4,1,35.08,7,16599
5,0,4,0,2,4,1,35.08,8,21206
1,3,1,1,2,4,1,35.08,5,12740
1,3,1,0,2,4,1,35.08,8,12740
1,3,1,1,2,4,1,35.08,10,12740
